"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Rgs3",4.09129874626462e-193,1.18849162915959,0.88,0.097,7.53289925162242e-189
"Calcrl",5.17498434296931e-189,1.53811424108012,0.817,0.087,9.5281811722751e-185
"Thsd1",1.3386266688551e-187,0.694484112647001,0.507,0.025,2.464679422696e-183
"Exoc3l2",2.7180990826059e-185,0.544893001212901,0.423,0.015,5.00456403089398e-181
"Plvap",8.97945032727199e-184,0.832738252258135,0.683,0.053,1.65329639425732e-179
"Rai14",5.41465751395246e-183,1.32597484938637,0.768,0.074,9.96946741468928e-179
"Cyyr1",6.80195684693303e-182,0.640013626606567,0.458,0.02,1.25237629465731e-177
"Tek",1.40296263803648e-180,1.53349036596355,0.951,0.139,2.58313480915276e-176
"Ebf1",1.09259309853896e-179,2.70432113725171,0.979,0.164,2.01168241302993e-175
"Nfatc1",6.33983302599364e-179,1.05904840359413,0.683,0.056,1.16729005674595e-174
"Prkch",1.57138196500203e-175,1.55150708608045,0.93,0.137,2.89322847396174e-171
"Lcp1",4.52296101464824e-171,0.721719155529624,0.451,0.021,8.32767582017034e-167
"Col23a1",2.165589566944e-168,1.97375489688488,0.838,0.109,3.9872835106573e-164
"Arhgef15",4.41034343139665e-163,0.536050804372387,0.43,0.02,8.12032432588751e-159
"Hapln1",1.26413044950588e-159,2.00574231844643,0.972,0.185,2.32751698363023e-155
"Pappa",5.87635343023718e-158,0.745115982300021,0.451,0.023,1.08195419357527e-153
"Npr3",2.03626711766687e-155,1.32448437210379,0.803,0.101,3.74917501704825e-151
"Palm",1.16954472789402e-153,0.943984285199236,0.789,0.093,2.15336575299847e-149
"Elk3",1.20364746405937e-147,1.31309884964234,0.908,0.154,2.21615571082611e-143
"Rin3",4.92843545556351e-147,0.789654197644217,0.683,0.068,9.07423536078353e-143
"Adam12",2.35376895305042e-144,1.17710568003538,0.69,0.076,4.33375939635644e-140
"Iqgap2",5.73708194460665e-143,1.08696038333186,0.817,0.114,1.05631152764098e-138
"Rapgef5",5.47177987528208e-138,1.49579062970252,0.937,0.188,1.00746411063694e-133
"Plxnd1",1.20799477635895e-132,0.593775743976228,0.507,0.039,2.2241599822321e-128
"Peli2",2.78440426408331e-131,0.838430503366908,0.662,0.072,5.1266451310302e-127
"Tmem100",3.80203246250026e-127,0.528356566172426,0.303,0.012,7.00030216995548e-123
"Csgalnact1",2.07100465843465e-126,0.884175001240441,0.535,0.048,3.81313377710988e-122
"Zfp69",7.141878703842e-126,0.768972607118484,0.585,0.059,1.31496270695139e-121
"Ptprm",5.05991953134203e-124,2.69221127885534,1,0.327,9.31632384110695e-120
"Gm20532",8.13894306617764e-123,0.583675695802967,0.451,0.033,1.49854219734463e-118
"Itpkb",3.8135581027371e-122,0.77015411661706,0.606,0.065,7.02152317875954e-118
"Fbn1",3.89040103417806e-121,1.12561482085278,0.845,0.154,7.16300638412865e-117
"Sncaip",1.14016721612477e-118,0.66317261231094,0.437,0.032,2.09927587832893e-114
"St6gal1",1.82924300282242e-118,1.02924001326012,0.599,0.068,3.36800221679663e-114
"Tgfbr2",1.71322199684319e-114,0.735744807238687,0.606,0.069,3.15438434058769e-110
"Cped1",9.95194842426416e-114,1.07584904251887,0.746,0.114,1.83235274387552e-109
"Plpp3",1.03632293203108e-113,0.836064033401898,0.465,0.039,1.90807778245563e-109
"Elmo1",1.56467438189022e-113,1.25585855313582,0.859,0.176,2.88087847193628e-109
"Dock6",5.46631923153341e-113,1.10308142924172,0.873,0.183,1.00645869690993e-108
"Col3a1",5.83409167031065e-113,0.711096442755194,0.592,0.066,1.0741729583376e-108
"Erg",1.13771910098808e-112,0.534532394796069,0.458,0.037,2.09476840873925e-108
"Ece1",9.8645109100033e-103,1.01688626081175,0.824,0.171,1.81625374874981e-98
"Acer2",2.64734129615111e-102,0.773787951692798,0.606,0.078,4.87428479447343e-98
"Vamp5",4.11596633069628e-101,0.532035142634903,0.437,0.038,7.57831720807799e-97
"Foxo1",5.78254250119932e-100,1.08895098322075,0.775,0.151,1.06468172532082e-95
"Zfp423",2.46899501023731e-99,0.928467074180536,0.754,0.134,4.54591361284893e-95
"Fam107b",4.86840900864818e-97,0.791474012186078,0.606,0.083,8.96371466672303e-93
"Mecom",2.33095962619586e-96,1.46438300086408,0.782,0.171,4.29176286375181e-92
"Gm14005",4.05537215629107e-96,1.27463545363138,0.894,0.233,7.46675121416312e-92
"Ednrb",1.61180613550696e-95,0.587923020874125,0.437,0.042,2.96765745669541e-91
"Entpd1",8.02385511718628e-94,0.64068847583738,0.43,0.041,1.47735220417634e-89
"Rasip1",3.23913698281868e-93,0.539149575428626,0.43,0.041,5.96389901276575e-89
"Icam2",6.88040253134854e-90,0.502699451982224,0.423,0.04,1.26681971407189e-85
"Cbfa2t3",6.63934521923074e-86,0.610240338461241,0.43,0.045,1.22243624176476e-81
"Fn1",2.35602151293907e-84,1.56716530631601,0.986,0.511,4.33790680962342e-80
"Rasgrp3",5.13673164367494e-84,0.692370506403012,0.556,0.08,9.4577503023343e-80
"Dapk1",7.05827363883292e-83,0.942263004761545,0.817,0.194,1.29956934238192e-78
"Slc43a2",7.71994248098437e-82,0.659118120897173,0.549,0.08,1.42139580959884e-77
"Ramp2",6.57634487350862e-81,0.585561419286828,0.528,0.072,1.21083661811041e-76
"Eps8",4.94327604209535e-80,0.588922357963679,0.437,0.05,9.10155984870596e-76
"Tmem2",5.05574473057912e-80,1.33382642442491,0.937,0.355,9.30863719794227e-76
"Itpr2",4.64804439073567e-79,0.952650142772927,0.81,0.209,8.55797933222252e-75
"Igfbp4",5.13218423776596e-79,0.56315335383631,0.556,0.082,9.44937761857469e-75
"St6galnac3",2.25248371672307e-78,1.52914968252991,0.937,0.402,4.14727301923052e-74
"Srgap1",2.82782302741734e-78,1.16293090265749,0.901,0.297,5.2065877580808e-74
"Shroom4",6.30746050365804e-77,1.01193814972826,0.81,0.21,1.16132962793352e-72
"Tshz3",6.73681453221058e-77,0.532746561964651,0.465,0.058,1.24038229167061e-72
"Nav3",1.97983097983718e-76,2.1276869331522,0.746,0.2,3.64526480007622e-72
"Sipa1l3",2.19294265840042e-76,0.614968415698103,0.62,0.105,4.03764602264685e-72
"Tmem164",5.08513492798595e-74,1.30347870951142,1,0.894,9.36275042940774e-70
"Itga9",1.84142962346907e-73,1.04025926416903,0.852,0.238,3.39044022273125e-69
"Slc22a23",7.5335814566137e-73,1.20649456702858,0.859,0.285,1.38708301779171e-68
"Nrxn3",5.05753267555752e-70,1.64874537491417,0.873,0.332,9.3119291622365e-66
"Lrig1",1.04551463525931e-68,0.853080134898392,0.732,0.18,1.92500154643945e-64
"Col18a1",3.76264811685354e-62,1.07175005187021,0.944,0.442,6.92778771275074e-58
"Ggta1",3.1731104193567e-61,0.855033222286388,0.775,0.233,5.84233090411956e-57
"Slc8a1",1.22698389778048e-60,-0.760416036074019,0.986,1,2.25912275259342e-56
"Ksr1",2.51169805746588e-60,0.75402491162599,0.782,0.226,4.62453846340617e-56
"Greb1l",6.9867914330044e-60,1.08974138147422,0.944,0.457,1.28640803864477e-55
"Ttn",1.42218120843939e-59,-0.683878626419131,1,1,2.6185200409786e-55
"Cacna1c",1.23991332697184e-58,-0.766838234493425,0.979,1,2.28292841762055e-54
"Itga1",2.26114341959599e-58,0.784863059559473,0.655,0.156,4.16321726416014e-54
"Vav3",4.03743645068641e-58,1.00511965471263,0.958,0.46,7.43372799300382e-54
"Ppp1r13b",6.38834142941768e-58,0.806989604283525,0.775,0.237,1.17622142398438e-53
"Kdr",1.96887688257287e-57,0.719894487590231,0.648,0.153,3.62509611619317e-53
"Nfia",4.5836561746879e-57,1.07706509540753,0.979,0.707,8.43942774883536e-53
"Arhgap28",3.80740470691752e-55,0.845608163646805,0.796,0.266,7.01019354637654e-51
"Gli3",1.08310347378891e-53,0.681369718584801,0.641,0.162,1.99421011594014e-49
"Palld",6.12315586854613e-53,-0.709221958293238,0.986,1,1.12739545851671e-48
"Plekhg1",6.26584407568139e-53,0.671240922264263,0.676,0.17,1.15366721121446e-48
"Nr2f2",1.13036698636327e-52,0.593844790747446,0.5,0.097,2.08123169529205e-48
"Cdh11",3.03061050964315e-52,0.705320152524316,0.577,0.129,5.57996007035497e-48
"Snrk",3.10794146034518e-52,0.711487126909442,0.641,0.169,5.72234181678754e-48
"Ctnna3",3.22709885232561e-52,-0.846405087828375,0.958,1,5.94173440690191e-48
"Tspan18",2.83126900071526e-51,0.936602138145456,0.979,0.661,5.21293248411694e-47
"Erbb4",3.53919320136226e-50,-0.736869620507928,0.993,1,6.51636252234819e-46
"Lrrc8b",1.34760430160604e-49,0.550381694907936,0.57,0.129,2.48120904011704e-45
"Shroom2",5.4110753811483e-49,0.756859280552497,0.803,0.291,9.96287199177026e-45
"Trpm3",5.63000930973843e-49,2.1488200074883,0.739,0.275,1.03659731410904e-44
"Nrg1",8.1773182005743e-49,1.41933941809549,0.908,0.545,1.50560782708974e-44
"Marcks",8.83298823013328e-49,0.558730115998255,0.634,0.156,1.62632979293214e-44
"Trim55",2.93368909004189e-47,-0.713863999898061,0.937,0.997,5.40150835258512e-43
"Prickle2",5.32519289867173e-46,0.843921776183814,0.683,0.215,9.80474516503439e-42
"Sh3pxd2b",5.60684294495155e-46,0.518675880212314,0.535,0.122,1.03233192302448e-41
"Rbms1",4.14940712925196e-45,0.682795655633354,0.993,0.914,7.6398884063787e-41
"Maml2",3.028492970496e-44,0.824219403005245,0.986,0.907,5.57606125727723e-40
"Rasa3",7.98363509125933e-44,0.6758533943957,0.711,0.232,1.46994689300267e-39
"Tgfbr3",1.07685040936676e-43,0.911721154150531,0.958,0.581,1.98269697372607e-39
"Rap2a",1.97371565920122e-43,0.56794612476041,0.585,0.154,3.63400527172128e-39
"Nebl",3.04657794547128e-43,-0.59305220794359,0.979,1,5.60935931320171e-39
"Ank3",9.76683991426005e-43,-0.746255325938713,0.986,1,1.79827056501356e-38
"Col4a1",1.14380228407056e-42,0.851941479153156,0.944,0.597,2.10596876543072e-38
"Fam198b",1.17342530167723e-42,0.66748964134983,0.725,0.239,2.16051066544812e-38
"Col5a2",5.115594300791e-42,0.674047365207352,0.592,0.166,9.41883222661639e-38
"Rbms3",2.30033010432256e-41,0.836256013749357,0.923,0.512,4.23536778807871e-37
"Ryr2",8.47074633012967e-41,-0.615052630171002,0.993,1,1.55963381430347e-36
"Hdac7",1.09542301807371e-40,0.640157164007689,0.725,0.253,2.01689286087732e-36
"Cacnb2",1.92802674537649e-40,-0.621764259932779,0.979,1,3.54988284358718e-36
"Sh3d19",2.7902313638763e-40,0.735611486954745,0.81,0.342,5.13737398716904e-36
"Lrp5",3.76448643773727e-39,0.5042954095389,0.542,0.141,6.93117242916187e-35
"Fhod3",5.26245768543416e-39,-0.62526839874803,0.944,0.997,9.68923709042137e-35
"Adam19",9.26728055307896e-39,0.718553849196607,0.859,0.408,1.7062916954329e-34
"Man2a1",1.06576533298018e-38,0.519510377037518,0.669,0.208,1.96228713108311e-34
"Pdlim5",8.10306045382814e-38,-0.590598266927419,1,0.999,1.49193549075884e-33
"Wipf1",9.03771656354913e-38,0.540794403742632,0.704,0.236,1.66402437368067e-33
"Cdk17",4.23762717241033e-37,0.701968560130448,0.873,0.419,7.8023191498419e-33
"Nexn",7.53376141235747e-37,-0.568844381648434,0.986,0.998,1.38711615124326e-32
"Ccdc141",2.90494718856978e-36,-0.582189490184385,0.965,1,5.34858876359468e-32
"Sept11",4.04753077066713e-36,0.79348821163066,0.866,0.493,7.45231365495232e-32
"Rps6ka2",4.51834262253343e-36,0.780685338965566,0.908,0.512,8.31917243660854e-32
"Vegfc",6.97233446836336e-36,0.557210851799824,0.493,0.132,1.28374622231506e-31
"Nhs",9.2782224573257e-36,1.00153381986,0.908,0.51,1.70830631884281e-31
"Actn2",4.19281154506288e-35,-0.572188141838257,0.972,0.996,7.71980461676978e-31
"Col4a2",1.88535844211716e-34,0.682313072966172,0.901,0.522,3.47132196362612e-30
"Dpf3",9.69656479129334e-34,-0.598365146142977,0.951,0.992,1.78533150937293e-29
"Dennd5b",3.50054642242315e-33,0.674699702073764,0.838,0.405,6.4452060729655e-29
"H19",9.38163859405162e-33,0.622577528994701,0.831,0.398,1.72734729793678e-28
"Cgnl1",9.55920151962486e-33,0.644417157519867,0.993,0.818,1.76004018379333e-28
"Galnt18",2.82640406750105e-32,0.518026318220428,0.43,0.107,5.20397516908292e-28
"Gng12",3.0418816584514e-32,0.528682045891434,0.655,0.234,5.60071250954071e-28
"Fmnl2",6.37809356303409e-32,0.653027971626052,0.859,0.456,1.17433458682584e-27
"Map4k4",7.52168029995903e-32,0.588081190248004,0.972,0.775,1.38489177682846e-27
"Nfib",8.31823666465307e-32,0.555072659998773,0.958,0.904,1.53155373469592e-27
"Sorbs2",1.00869509475716e-31,-0.567507681616402,0.986,1,1.85720940846688e-27
"Msn",1.12497474240024e-31,0.580378113850499,0.817,0.369,2.07130349570732e-27
"Efnb2",4.21836000033935e-31,0.589458320654281,0.634,0.221,7.76684443262482e-27
"Ankrd44",4.86769125361472e-31,0.727095501916525,0.761,0.381,8.96239313615543e-27
"Cdh2",6.21856497638093e-31,-0.56079903885924,0.951,0.995,1.14496218345126e-26
"Ptpn12",6.29700865580565e-31,0.610688972229555,0.824,0.445,1.15940523370694e-26
"Celf2",7.60571782276673e-31,-0.61244381971551,0.923,0.995,1.40036476552781e-26
"Nrip1",1.04527230920636e-30,0.639205280012728,0.641,0.256,1.92455537571076e-26
"Pde1c",1.92984296647182e-30,0.641942430843999,0.648,0.256,3.55322686986792e-26
"Ppp3ca",1.98608109392257e-30,0.661129019484144,0.979,0.861,3.65677251013024e-26
"Kif26b",4.93554217902473e-30,-0.631876658110014,0.944,0.995,9.08732026002034e-26
"Meis2",7.22354576546428e-30,0.613172643472129,1,0.932,1.32999924633728e-25
"Hspg2",8.87545711413099e-30,0.580516584347328,0.93,0.66,1.6341491638538e-25
"Sdk1",1.12658666641144e-29,-0.654412062897304,0.965,0.999,2.07427137019675e-25
"Cdkn1c",2.11749283332627e-29,0.671146814330903,0.986,0.807,3.89872780472032e-25
"Smad6",3.12178546224108e-29,0.722359105705937,0.908,0.585,5.74783139307827e-25
"Limch1",3.30453976250268e-29,0.718385953385249,0.486,0.145,6.08431861071994e-25
"Rdx",3.34911997811801e-29,0.631378481847276,0.915,0.626,6.16639970371089e-25
"Gmds",4.56163647985737e-29,0.707140950349944,0.852,0.471,8.39888508671339e-25
"Gab2",5.56363282497257e-29,0.615941824646892,0.986,0.776,1.02437607573395e-24
"Gm38399",5.8148051305503e-29,0.610742086370129,0.746,0.322,1.07062192063692e-24
"Tshz2",9.67738210528788e-29,0.679851151955895,0.859,0.474,1.7817995932256e-24
"Cdyl2",1.00328436715239e-28,0.513886889919712,0.57,0.195,1.84724717680098e-24
"Phldb2",1.06689121995692e-28,0.593064959274766,0.803,0.403,1.96436011418469e-24
"Mpped2",8.4719598102028e-28,-0.663459239109183,0.986,0.999,1.55985724025454e-23
"Esrrg",1.01055127024826e-27,-0.594879270529463,0.944,0.992,1.8606269987811e-23
"Afap1l1",2.43314851856597e-27,0.607301021102361,0.887,0.524,4.47991305238366e-23
